miRNA,GSM3151945,GSM3151946,GSM3151947,GSM3151948,GSM3151949,GSM3151950,GSM3151951,GSM3151952,GSM3151953,GSM3151954,GSM3151955,GSM3151956,GSM3151957,GSM3151958,GSM3151959,GSM3151960,GSM3151961,GSM3151962,GSM3151963,GSM3151964,GSM3151965,GSM3151966,GSM3151967,GSM3151968,GSM3151969,GSM3151970,GSM3151971,GSM3151972
hsa-miR-1266-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1268a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1268b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1269a,6.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-127-3p,6.32,6.25,18.27,252.03,6.06,29.72,5.16,23.96,6.69,31.45,125.08,14.8,0.0,11.99,0.0,9.57,11.95,45.72,38.25,37.07,12.98,16.38,9.28,86.3,0.0,0.0,0.0,17.69
hsa-miR-127-5p,0.0,0.0,0.0,0.0,0.28,0.64,0.21,0.65,0.28,0.42,0.0,0.0,0.0,0.0,6.68,0.0,0.0,0.0,1.41,0.62,0.85,0.51,0.26,1.13,0.0,0.0,0.0,0.0
hsa-miR-1270,0.0,0.0,0.0,0.0,0.28,0.72,0.43,1.01,0.78,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41,0.5,2.12,0.92,0.09,0.51,0.0,0.0,0.0,0.0
hsa-miR-1271-5p,0.0,6.25,0.0,0.0,1.31,2.86,1.22,1.44,1.45,2.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.88,3.36,3.56,2.44,1.3,4.82,0.0,0.0,0.0,0.0
hsa-miR-1273c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0
hsa-miR-1273h-3p,0.0,0.0,0.0,13.26,2.81,5.27,9.52,5.83,4.01,6.37,0.0,0.0,0.0,0.0,0.0,3.19,0.0,6.53,7.77,5.73,11.45,3.56,4.08,8.0,0.0,0.0,0.0,0.0
hsa-miR-1273h-5p,0.0,0.0,0.0,0.0,2.57,3.1,5.66,2.01,3.12,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.41,2.37,4.58,3.05,1.48,3.18,0.0,0.0,0.0,0.0
