miRNA,GSM2442624,GSM2442625,GSM2442626,GSM2442627,GSM2442628,GSM2442629,GSM2442630,GSM2442631,GSM2442632,GSM2442633
hsa-miR-4520-3p,0.0,0.18,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4535,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-454-3p,7.14,8.37,12.68,14.82,0.0,4.18,3.19,3.26,6.53,3.38
hsa-miR-454-5p,0.51,0.53,0.73,0.45,6.68,0.0,6.38,0.0,0.0,0.0
hsa-miR-455-3p,0.17,0.36,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-455-5p,1.19,1.78,2.68,2.25,0.0,8.36,0.0,13.04,3.27,6.76
hsa-miR-4648,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.26,0.0,0.0
hsa-miR-4671-3p,0.17,0.18,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4677-3p,0.17,0.0,1.22,0.67,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4687-3p,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4687-5p,0.17,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4707-3p,0.0,0.18,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4708-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27,0.0
hsa-miR-4709-5p,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4712-3p,0.51,0.89,0.37,0.34,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4714-3p,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4714-5p,0.17,0.53,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
