miRNA,ERR5981316,ERR5981317,ERR5981318,ERR5981319,ERR5981320,ERR5981321,ERR5981322,ERR5981323,ERR5981324,ERR5981325,ERR5981326,ERR5981327,ERR5981328,ERR5981329,ERR5981330,ERR5981331,ERR5981332,ERR5981333,ERR5981334,ERR5981335,ERR5981336,ERR5981337,ERR5981338,ERR5981339
hsa-miR-27a-3p,0.0,2457.16,1.6,823.32,3.22,1.92,365.76,9.28,3.72,713.16,4.83,1.54,0.0,0.0,0.83,570.63,1099.95,0.15,0.31,298.16,455.49,697.44,2150.3,0.0
hsa-miR-27a-5p,0.0,47.64,0.0,9.63,0.0,0.0,4.17,0.0,0.0,4.28,0.0,0.0,0.0,0.0,0.0,2.92,49.3,0.0,0.0,2.13,9.06,4.11,7.03,0.0
hsa-miR-27b-3p,1.91,5661.62,19.79,1844.35,12.58,10.25,761.69,22.71,12.1,1199.53,59.42,17.52,2.13,6.75,0.83,766.77,1855.54,2.45,0.92,457.53,574.0,722.6,2195.17,1.15
hsa-miR-27b-5p,0.0,18.41,0.0,8.29,0.0,0.0,3.49,0.0,0.0,3.14,0.0,0.0,0.0,0.0,0.0,2.62,6.3,0.15,0.0,1.25,3.45,0.79,2.6,0.0
hsa-miR-28-3p,0.0,4.23,4.15,5.24,1.93,0.0,3.29,0.0,1.4,1.0,0.48,0.0,0.27,0.37,0.0,0.18,0.71,0.0,0.31,0.16,0.17,0.06,0.42,0.0
hsa-miR-28-5p,0.0,47.7,0.0,18.77,0.0,0.0,7.39,0.0,0.0,10.41,0.48,0.0,0.0,0.0,0.0,19.68,49.83,0.0,0.0,19.49,24.35,16.15,24.28,0.0
hsa-miR-296-3p,0.0,2.14,0.0,1.34,0.0,0.0,0.96,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-296-5p,0.0,1.04,0.0,0.91,0.0,0.0,0.75,0.0,0.0,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-299-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.08,0.0
hsa-miR-29a-3p,1.28,14368.47,13.72,5351.86,28.06,14.1,3983.33,50.55,30.73,4632.01,116.9,33.12,13.3,13.49,3.74,7006.04,10386.64,9.05,12.21,4185.52,4837.82,7338.58,16455.08,8.71
