miRNA,SRR12463645,SRR12463646,SRR12463647,SRR12463648,SRR12463649,SRR12463650,SRR12463651,SRR12463652,SRR12463653,SRR12463654,SRR12463655,SRR12463656,SRR12463657,SRR12463658,SRR12463659
hsa-miR-223-5p,0.0,0.0,0.0,0.0,0.0,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-224-5p,0.0,0.0,0.0,30.13,33.39,29.07,15.64,11.24,16.69,0.0,0.34,1.08,0.0,0.45,0.0
hsa-miR-23a-3p,55.41,16.58,13.84,52.72,90.1,64.59,0.0,9.51,12.14,0.0,5.14,5.96,0.0,3.63,0.0
hsa-miR-23a-5p,0.0,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0
hsa-miR-23b-3p,36.94,3.49,10.38,11.3,28.35,35.52,0.0,3.46,3.04,2.23,1.37,2.17,1.73,0.0,2.38
hsa-miR-24-2-5p,18.47,0.87,0.0,0.0,5.67,0.0,0.0,0.0,1.52,0.0,0.68,0.0,0.0,0.0,0.0
hsa-miR-24-3p,36.94,27.06,17.3,48.95,114.04,87.2,0.0,5.19,3.04,4.45,2.74,4.33,0.0,0.0,0.95
hsa-miR-25-3p,110.81,68.96,96.85,124.27,202.25,187.31,0.0,9.51,18.21,2.23,5.14,7.04,0.0,1.36,2.38
hsa-miR-25-5p,0.0,5.24,0.0,11.3,3.15,3.23,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.48
hsa-miR-2682-5p,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-26a-2-3p,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-26a-5p,110.81,49.75,41.51,169.46,308.11,190.54,0.0,28.54,30.35,6.68,6.51,11.37,0.86,1.36,0.95
hsa-miR-26b-5p,0.0,6.11,6.92,3.77,21.42,16.15,0.0,0.86,1.52,2.23,0.34,1.62,0.0,0.91,0.95
hsa-miR-27a-3p,0.0,13.09,10.38,45.19,47.89,45.21,31.28,5.19,4.55,4.45,1.03,1.62,0.0,0.0,0.0
hsa-miR-27a-5p,0.0,21.82,24.21,64.02,28.98,48.44,0.0,10.38,12.14,4.45,6.51,4.87,0.86,1.82,3.8
hsa-miR-27b-3p,203.16,35.79,34.59,120.5,194.06,167.94,15.64,8.65,21.25,11.13,7.19,10.83,0.0,1.36,1.43
hsa-miR-27b-5p,0.0,0.87,0.0,7.53,5.67,9.69,0.0,0.0,3.04,0.0,0.0,0.54,0.0,0.0,0.0
hsa-miR-28-3p,36.94,17.46,20.75,52.72,47.26,48.44,0.0,4.32,3.04,17.8,7.53,7.58,2.59,1.36,0.95
hsa-miR-28-5p,0.0,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-296-3p,92.34,40.15,44.97,0.0,0.63,0.0,0.0,0.86,0.0,4.45,5.82,7.04,0.0,0.0,0.95
hsa-miR-29a-3p,18.47,1.75,3.46,33.89,66.79,29.07,0.0,3.46,7.59,2.23,1.03,0.54,0.0,0.45,0.48
hsa-miR-29b-1-5p,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-29b-3p,0.0,0.0,0.0,0.0,5.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
