miRNA,SRR24875824,SRR24875825,SRR24875826,SRR24875827,SRR24875828,SRR24875829,SRR24875830,SRR24875831,SRR24875832
hsa-miR-342-3p,391.0,0.0,398.0,0.0,0.0,0.0,272.0,204.0,0.0
hsa-miR-342-5p,5319.0,3527.0,5369.0,757.0,3604.0,839.0,2610.0,1813.0,2989.0
hsa-miR-3605-3p,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3605-5p,0.0,0.0,0.0,0.0,0.0,0.0,261.0,2.0,0.0
hsa-miR-361-3p,991.0,739.0,956.0,1076.0,1220.0,1040.0,207.0,1353.0,21.0
hsa-miR-3614-5p,0.0,747.0,0.0,665.0,0.0,728.0,0.0,0.0,1.0
hsa-miR-3615,1527.0,168.0,1570.0,667.0,1081.0,636.0,300.0,549.0,0.0
hsa-miR-3620-5p,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
hsa-miR-363-3p,380.0,0.0,396.0,0.0,0.0,0.0,197.0,0.0,1.0
hsa-miR-3648,504.0,0.0,446.0,2.0,1.0,1.0,0.0,123.0,2.0
hsa-miR-365b-5p,668.0,0.0,638.0,2.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-3665,84.0,885.0,91.0,3.0,2.0,4.0,87.0,81.0,2.0
hsa-miR-3678-5p,0.0,0.0,0.0,1.0,0.0,2.0,0.0,39.0,0.0
hsa-miR-3679-5p,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0
