miRNA,SRR27277256,SRR27277257,SRR27277258,SRR27277259,SRR27277260,SRR27277261,SRR27277262,SRR27277263
hsa-miR-223-5p,6.47,35.42,210.02,190.04,12.88,3.33,262.63,231.2
hsa-miR-224-3p,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0
hsa-miR-224-5p,5.18,113.01,148.16,163.32,44.05,8.08,100.84,124.63
hsa-miR-2277-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
hsa-miR-2355-3p,0.0,0.0,7.19,0.3,0.0,0.0,2.26,3.61
hsa-miR-2355-5p,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0
hsa-miR-23a-3p,10.35,87.71,133.78,165.73,46.76,548.68,413.89,188.21
hsa-miR-23a-5p,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
hsa-miR-23b-3p,0.0,138.31,34.52,11.11,15.59,541.56,61.33,30.34
hsa-miR-23b-5p,0.0,28.67,2.88,3.9,0.0,1.43,10.91,16.26
hsa-miR-23c,0.0,1.69,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-24-1-5p,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0
hsa-miR-24-2-5p,1.29,1.69,34.52,20.12,2.03,9.03,14.67,14.45
hsa-miR-24-3p,0.0,224.33,363.94,159.12,89.45,523.03,83.15,709.12
hsa-miR-25-3p,37.52,720.2,2702.9,1238.44,218.21,1961.01,1838.79,1334.07
hsa-miR-25-5p,0.0,0.0,0.0,5.1,0.0,1.9,3.76,9.75
hsa-miR-2682-5p,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0
hsa-miR-26a-2-3p,0.0,0.0,5.75,1.8,0.0,38.48,0.38,1.81
hsa-miR-26a-5p,128.1,3830.4,11510.7,6310.48,748.84,6052.14,14886.03,15137.14
hsa-miR-26b-3p,0.0,0.0,0.0,1.2,0.0,0.48,0.75,2.17
hsa-miR-26b-5p,14.23,389.62,654.51,765.58,108.43,1097.84,2398.29,1568.51
hsa-miR-27a-3p,12.94,418.29,821.37,322.74,96.91,1269.81,430.44,413.26
hsa-miR-27a-5p,0.0,6.75,126.59,32.12,10.84,10.45,24.08,40.82
hsa-miR-27b-3p,36.23,1199.21,1437.04,455.45,247.35,3097.8,1112.6,898.05
hsa-miR-27b-5p,0.0,0.0,11.51,0.9,0.0,0.48,12.79,16.62
hsa-miR-28-3p,3.88,107.95,283.38,272.01,28.46,178.14,533.54,905.63
hsa-miR-28-5p,0.0,55.66,20.14,19.51,12.88,5.23,43.65,38.29
hsa-miR-296-3p,0.0,1.69,14.38,0.0,2.71,0.0,0.38,1.44
hsa-miR-296-5p,0.0,1.69,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-299-3p,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
hsa-miR-29a-3p,27.17,328.9,182.69,75.96,62.35,600.94,66.6,101.87
hsa-miR-29a-5p,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0
