miRNA,GSM2837756,GSM2837757,GSM2837760,GSM2837761,GSM2837764,GSM2837765,GSM2837768,GSM2837769,GSM2837772,GSM2837773,GSM2837776,GSM2837777
hsa-miR-1843,1.08,2.36,1.39,2.96,6.94,9.05,2.27,6.82,0.0,0.0,1.35,3.37
hsa-miR-185-3p,0.97,0.47,0.33,0.59,0.0,3.02,0.0,4.55,0.0,0.0,0.0,0.42
hsa-miR-185-5p,3.14,4.72,1.31,3.55,2.78,0.0,0.0,2.27,0.0,0.0,2.71,1.27
hsa-miR-186-3p,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-186-5p,182.76,1274.35,344.06,1270.51,901.97,2939.66,563.47,1630.49,272.34,480.16,585.95,944.6
hsa-miR-187-3p,0.51,0.47,0.25,0.0,2.78,3.02,1.13,0.0,0.0,0.0,1.35,0.0
hsa-miR-188-3p,0.06,0.0,0.16,0.59,2.78,0.0,0.0,2.27,0.0,0.0,1.35,0.84
hsa-miR-188-5p,0.86,0.94,0.41,2.37,1.39,9.05,2.27,4.55,0.0,0.0,0.0,4.22
hsa-miR-18a-3p,3.59,10.85,2.38,5.92,2.78,0.0,4.53,6.82,0.0,0.0,1.35,1.27
hsa-miR-18a-5p,16.2,11.32,10.08,7.7,1.39,9.05,4.53,9.1,0.0,3.6,1.35,3.8
