miRNA,SRR10029319,SRR10029320,SRR10029321,SRR10029322,SRR10029323
hsa-miR-450a-5p,0.0,0.0,0.0,0.0,3.38
hsa-miR-4511,0.28,0.0,0.0,0.0,0.0
hsa-miR-4516,1.11,0.0,0.0,6.25,0.0
hsa-miR-451a,0.0,0.0,0.0,0.0,11.5
hsa-miR-452-5p,0.0,0.0,0.0,2.84,0.68
hsa-miR-455-3p,2.22,0.17,0.0,2.27,0.0
hsa-miR-455-5p,5.83,1.01,3.23,16.49,14.21
hsa-miR-4647,0.0,0.34,0.0,0.0,0.0
hsa-miR-4653-5p,0.0,0.17,0.0,0.0,0.0
hsa-miR-4664-3p,0.0,1.01,0.0,0.0,0.0
hsa-miR-4677-3p,0.28,0.0,0.0,0.0,0.0
hsa-miR-4727-3p,0.0,0.0,0.0,0.57,0.0
hsa-miR-4741,0.0,0.0,0.0,0.0,0.68
hsa-miR-4763-5p,0.28,0.0,0.0,0.0,0.0
hsa-miR-4773,0.0,0.0,0.0,0.0,0.68
hsa-miR-4800-5p,0.0,0.0,0.0,0.0,0.68
hsa-miR-484,5.28,0.67,1.62,22.18,10.15
hsa-miR-485-3p,4.45,1.01,0.0,0.0,0.0
hsa-miR-485-5p,11.39,7.71,3.23,0.0,0.68
hsa-miR-486-5p,0.0,0.0,0.0,2.27,0.0
hsa-miR-487a-5p,0.28,0.0,0.0,0.0,0.0
hsa-miR-487b-3p,0.83,0.0,0.0,0.0,0.0
hsa-miR-490-3p,0.83,0.0,1.62,0.57,0.0
hsa-miR-493-3p,105.58,25.66,33.96,23.31,1.35
hsa-miR-493-5p,31.12,4.02,6.47,5.12,2.03
hsa-miR-494-3p,4.17,0.0,1.62,6.82,1.35
hsa-miR-494-5p,0.56,0.0,0.0,0.0,0.0
hsa-miR-495-3p,16.95,1.34,0.0,9.1,1.35
hsa-miR-496,0.0,0.0,0.0,0.57,0.0
hsa-miR-500a-3p,0.28,0.0,0.0,1.14,0.0
hsa-miR-501-3p,0.83,1.34,0.0,0.0,6.09
hsa-miR-5010-3p,0.83,0.84,1.62,0.0,0.0
hsa-miR-5010-5p,0.0,0.0,0.0,0.57,0.0
hsa-miR-503-5p,5.28,0.67,0.0,1.71,0.68
hsa-miR-505-3p,1.11,0.0,0.0,0.0,1.35
hsa-miR-505-5p,0.56,0.0,0.0,0.0,0.68
hsa-miR-5193,0.0,0.17,0.0,0.0,0.0
hsa-miR-532-3p,0.0,0.0,0.0,0.0,0.68
hsa-miR-532-5p,15.84,4.19,4.85,114.86,96.06
hsa-miR-539-3p,0.28,0.0,0.0,0.0,0.0
hsa-miR-539-5p,0.0,0.0,0.0,0.57,0.0
hsa-miR-541-3p,0.28,0.0,0.0,0.0,0.0
hsa-miR-542-3p,0.28,0.0,0.0,1.14,0.68
hsa-miR-543,155.87,35.21,25.87,2.84,0.68
hsa-miR-548e-3p,0.56,0.0,0.0,0.0,0.0
hsa-miR-548j-5p,0.28,0.0,0.0,0.0,0.0
hsa-miR-548o-3p,0.56,0.0,0.0,0.57,0.0
hsa-miR-548u,1.11,0.0,0.0,0.0,0.0
hsa-miR-5581-3p,0.28,0.0,0.0,0.0,0.0
hsa-miR-574-3p,12.23,2.01,19.41,6.82,2.03
hsa-miR-574-5p,1.39,0.0,1.62,9.1,4.06
hsa-miR-576-3p,0.28,0.0,0.0,0.57,0.0
hsa-miR-584-5p,3.06,0.34,1.62,0.0,0.0
hsa-miR-589-5p,1.94,0.5,0.0,3.41,0.0
hsa-miR-598-3p,0.0,1.01,0.0,0.0,0.0
hsa-miR-615-3p,0.83,3.35,0.0,9.1,31.79
hsa-miR-625-3p,0.28,0.0,0.0,0.57,0.0
hsa-miR-628-3p,0.28,0.0,0.0,0.0,0.0
hsa-miR-629-5p,4.72,1.51,1.62,1.71,1.35
hsa-miR-6515-3p,0.28,0.0,0.0,0.0,0.0
hsa-miR-652-3p,0.0,0.5,1.62,9.1,2.71
hsa-miR-6529-5p,0.0,0.0,0.0,0.0,3.38
hsa-miR-654-3p,17.5,1.51,16.17,2.27,0.0
hsa-miR-654-5p,11.39,3.35,1.62,0.0,1.35
hsa-miR-658,0.0,0.0,0.0,11.37,0.68
hsa-miR-659-5p,0.28,0.0,0.0,0.0,0.0
hsa-miR-663a,0.56,0.0,0.0,0.0,0.0
hsa-miR-664a-3p,0.0,0.0,0.0,0.57,0.0
hsa-miR-664a-5p,1.39,0.84,1.62,1.14,0.0
hsa-miR-665,0.56,0.0,0.0,2.27,0.0
hsa-miR-668-3p,0.56,0.0,0.0,0.0,0.0
hsa-miR-671-3p,10.28,4.53,9.7,1.71,0.0
hsa-miR-671-5p,0.0,0.0,0.0,7.39,0.0
hsa-miR-6716-3p,0.28,0.34,0.0,0.0,0.0
hsa-miR-6727-5p,0.0,0.67,0.0,0.0,0.0
hsa-miR-6747-3p,0.56,0.34,0.0,0.0,0.0
hsa-miR-6772-3p,0.28,0.17,0.0,0.0,0.0
hsa-miR-6791-3p,0.0,0.0,0.0,0.57,0.0
hsa-miR-6803-5p,0.0,0.0,0.0,0.0,0.68
hsa-miR-6808-3p,0.28,0.0,0.0,0.0,0.0
hsa-miR-6809-5p,0.0,0.17,0.0,0.0,0.0
hsa-miR-6842-3p,0.28,0.17,0.0,0.0,0.0
hsa-miR-6855-3p,0.0,0.17,0.0,0.0,0.0
hsa-miR-6875-3p,0.28,0.0,0.0,0.0,0.0
hsa-miR-7-5p,8.34,2.01,6.47,3.98,25.03
hsa-miR-708-3p,0.83,0.17,1.62,3.41,7.44
hsa-miR-708-5p,1.11,0.0,1.62,3.41,4.06
hsa-miR-7108-3p,0.28,0.0,0.0,0.0,0.0
hsa-miR-744-3p,0.0,0.0,0.0,2.27,0.68
hsa-miR-744-5p,12.23,1.84,3.23,18.76,50.06
