miRNA,GSM4224386,GSM4224387,GSM4224388,GSM4224389,GSM4224390,GSM4224391,GSM4224392,GSM4224393,GSM4224394
hsa-miR-516a-5p,7.44,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-5187-5p,3.72,3.23,11.6,0.0,0.0,0.0,43.49,0.0,0.0
hsa-miR-518a-3p,0.0,3.23,9.02,0.0,0.0,0.0,3.22,18.24,0.0
hsa-miR-518b,0.0,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-519b-3p,0.0,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-520d-3p,0.0,0.0,5.16,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-522-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.71
hsa-miR-532-3p,0.0,0.0,0.0,61.24,0.0,0.0,1.61,0.0,0.0
hsa-miR-545-5p,7.44,0.0,0.0,0.0,0.0,0.0,3.22,0.0,7.61
hsa-miR-548a-5p,0.0,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-548ad-5p,29.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-548ae-5p,0.0,0.0,10.31,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-548b-5p,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-548f-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9
hsa-miR-548h-5p,0.0,0.0,0.0,0.0,0.0,0.0,2.42,0.0,0.0
hsa-miR-548n,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.05,0.0
hsa-miR-5585-3p,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-5698,0.0,0.0,2.58,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-5699-5p,0.0,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-570-3p,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-574-3p,3.72,9.68,5.16,0.0,0.0,0.0,8.86,0.0,3.81
hsa-miR-574-5p,7.44,0.0,6.45,0.0,0.0,0.0,11.28,6.08,3.81
hsa-miR-576-3p,0.0,0.0,1.29,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-582-3p,0.0,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-584-5p,18.6,6.45,16.76,0.0,0.0,0.0,3.22,0.0,0.0
hsa-miR-589-5p,0.0,0.0,0.0,0.0,0.0,0.0,1.61,0.0,0.0
hsa-miR-595,0.0,0.0,0.0,0.0,0.0,0.0,1.61,0.0,0.0
hsa-miR-598-3p,3.72,3.23,3.87,0.0,0.0,0.0,7.25,0.0,0.0
